ISO-3166,Country,Continent,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate (per 100)
NGA,Nigeria,Africa,12/13/20,9.082,8.6753,73175,1197,66090,5888,183.10223250102536,0.0002995194701793336
MKD,North Macedonia,Europe,12/13/20,41.6086,21.7453,73638,2121,49414,22103,35345.44826195893,0.10180571955188204
NOR,Norway,Europe,12/13/20,60.472,8.4689,41003,387,17998,22618,7563.395989332334,0.00713858558610739
OMN,Oman,Asia,12/13/20,21.512583,55.923255,126240,1471,118048,6721,24720.842858547196,0.028805734984888247
PAK,Pakistan,Asia,12/13/20,30.3753,69.3451,440787,8832,384719,47236,1028.1366834674861,0.002060066015645842
PAN,Panama,North America,12/13/20,8.538,-80.7821,193007,3356,162105,27546,44731.72138108005,0.07777938466216493
PNG,Papua New Guinea,Oceania,12/13/20,-6.314993,143.95555,725,8,601,116,81.0325038697212,8.941517668383028e-05
PRY,Paraguay,South America,12/13/20,-23.4425,-58.4438,93582,1953,66543,25086,13120.449545953541,0.027381588300364666
PER,Peru,South America,12/13/20,-9.19,-75.0152,980943,90797,916335,-26189,14953.890406706341,0.13841460586983298
PHL,Philippines,Asia,12/13/20,12.879721,121.774017,449400,8733,418687,21980,4101.072735317413,0.007969441076441248
POL,Poland,Europe,12/13/20,51.9194,19.1451,1135676,22864,858895,253917,14892.597215656222,0.029982525186652172
PRT,Portugal,Europe,12/13/20,39.3999,-8.2245,348744,5559,271322,71863,34201.629996821524,0.054517600633224035
QAT,Qatar,Asia,12/13/20,25.3548,51.1839,140961,240,138490,2231,48926.78389203973,0.008330267332162468
ROU,Romania,Europe,12/13/20,45.9432,24.9668,556335,13385,457360,85590,14324.704265478185,0.034464156774861456
RUS,Russia,Europe,12/13/20,61.52401,105.318756,2629699,46404,2086887,496408,8987.990936251792,0.01586032209031635
RWA,Rwanda,Africa,12/13/20,-1.9403,29.8739,6659,56,5955,648,514.120795919831,0.0004323586810558724
KNA,Saint Kitts and Nevis,North America,12/13/20,17.357822,-62.782998,27,0,23,4,507.59512708678,0.0
LCA,Saint Lucia,North America,12/13/20,13.9094,-60.9789,275,4,203,68,1497.5848041431364,0.002178305169662744
VCT,Saint Vincent and the Grenadines,North America,12/13/20,12.9843,-61.2872,98,0,81,17,883.3046409546901,0.0
WSM,Samoa,Oceania,12/13/20,-13.759,-172.1046,2,0,2,0,10.197318105338296,0.0
SMR,San Marino,Europe,12/13/20,43.9424,12.4578,1932,51,1575,306,56927.33808710001,0.15027402911190996
STP,Sao Tome and Principe,Africa,12/13/20,0.1864,6.6131,1009,17,950,42,4603.92131811773,0.007756854549851479
SAU,Saudi Arabia,Asia,12/13/20,23.885942,45.079162,359888,6048,350549,3291,10337.48994330334,0.01737238784763554
SEN,Senegal,Africa,12/13/20,14.4974,-14.4524,17075,349,16094,632,1019.7725384661785,0.0020843374285487337
SRB,Serbia,Europe,12/13/20,44.0165,21.0059,266432,2331,0,264101,30493.386453818483,0.026678508521442948
SYC,Seychelles,Africa,12/13/20,-4.6796,55.492,185,0,182,3,1881.2283912955054,0.0
SLE,Sierra Leone,Africa,12/13/20,8.460555,-11.779889,2440,75,1850,515,305.87997846304086,0.0009402048518331173
SGP,Singapore,Asia,12/13/20,1.2833,103.8333,58320,29,58208,83,9968.6462827906,0.00049569743175742
SVK,Slovakia,Europe,12/13/20,48.669,19.699,170507,1175,97068,72264,15752.836410415035,0.01085561459778054
SVN,Slovenia,Europe,12/13/20,46.1512,14.9955,96314,2063,73377,20874,46328.59564430198,0.09923364496770458
SLB,Solomon Islands,Oceania,12/13/20,-9.6457,160.1562,17,0,5,12,26.039353121199404,0.0
SOM,Somalia,Africa,12/13/20,5.152149,46.199616,4579,121,3529,929,288.1102940820233,0.0007613309802123787
ZAF,South Africa,Africa,12/13/20,-30.5595,22.9375,860964,23276,761011,76677,14516.658520024637,0.039245513600114926
SSD,South Sudan,Africa,12/13/20,6.877,31.307,3206,62,3043,101,286.41036423161574,0.0005538815527872794
ESP,Spain,Europe,12/13/20,40.463667,-3.74922,1730575,47624,150376,1532575,18470.92494487487,0.050830465572120294
